action_day,scenario,mark,fair,pfc_usd,coc_usd,net_profit_usd
108,B-3,0.6899835796387521,0.41871921182266014,5422775.041050904,307810104.35094583,-302387329.3098949
109,B-2,0.6851395730706076,0.41871921182266014,5325894.909688014,150105.5134174596,5175789.396270554
109,B-3,0.6851395730706076,0.41871921182266014,5325894.909688014,307807643.59560925,-302481748.68592125
110,B-2,0.680295566502463,0.41871921182266014,5229014.778325123,147644.75808084215,5081370.020244281
110,B-3,0.680295566502463,0.41871921182266014,5229014.778325123,307805182.8402726,-302576168.06194746
111,B-2,0.6754515599343185,0.41871921182266014,5132134.646962232,145184.00274422474,4986950.644218007
111,B-3,0.6754515599343185,0.41871921182266014,5132134.646962232,307802722.08493596,-302670587.43797374
112,B-2,0.6706075533661742,0.41871921182266014,5035254.515599345,142723.2474076074,4892531.268191737
112,B-3,0.6706075533661742,0.41871921182266014,5035254.515599345,307800261.3295994,-302765006.814
113,B-2,0.6657635467980296,0.41871921182266014,4938374.384236454,140262.49207098997,4798111.892165464
113,B-3,0.6657635467980296,0.41871921182266014,4938374.384236454,307797800.57426274,-302859426.1900263
114,B-2,0.6609195402298851,0.41871921182266014,4841494.252873563,137801.73673437256,4703692.516139191
114,B-3,0.6609195402298851,0.41871921182266014,4841494.252873563,307795339.81892616,-302953845.5660526
115,B-2,0.6560755336617405,0.41871921182266014,4744614.121510672,135340.98139775512,4609273.140112917
115,B-3,0.6560755336617405,0.41871921182266014,4744614.121510672,307792879.0635895,-303048264.9420788
116,B-2,0.6512315270935961,0.41871921182266014,4647733.990147783,132880.22606113774,4514853.764086646
116,B-3,0.6512315270935961,0.41871921182266014,4647733.990147783,307790418.30825293,-303142684.31810516
117,B-2,0.6463875205254517,0.41871921182266014,4550853.858784894,130419.47072452036,4420434.388060374
117,B-3,0.6463875205254517,0.41871921182266014,4550853.858784894,307787957.5529163,-303237103.6941314
118,B-2,0.6415435139573071,0.41871921182266014,4453973.727422004,127958.71538790294,4326015.0120341005
118,B-3,0.6415435139573071,0.41871921182266014,4453973.727422004,307785496.79757965,-303331523.07015765
119,B-2,0.6366995073891626,0.41871921182266014,4357093.596059113,125497.96005128551,4231595.636007828
119,B-3,0.6366995073891626,0.41871921182266014,4357093.596059113,307783036.04224306,-303425942.446184
120,B-2,0.631855500821018,0.41871921182266014,4260213.464696222,123037.20471466809,4137176.259981554
120,B-3,0.631855500821018,0.41871921182266014,4260213.464696222,307780575.2869064,-303520361.8222102
121,B-2,0.6270114942528735,0.41871921182266014,4163333.333333331,120576.44937805065,4042756.8839552803
